age,income,loan_amount,loan_term,credit_history,debt_to_income,employment_years,target
25,50000,10000,24,1,0.30,3,1
30,65000,12000,36,1,0.25,5,1
40,40000,20000,48,0,0.60,2,0
35,70000,15000,24,1,0.35,7,1
29,45000,18000,36,0,0.55,3,0
50,90000,25000,60,1,0.20,15,1
32,55000,14000,24,1,0.40,6,1
45,38000,22000,48,0,0.65,4,0
28,62000,10000,12,1,0.28,4,1
38,47000,18000,36,0,0.58,5,0
26,52000,11000,24,1,0.32,2,1
41,42000,19000,48,0,0.61,5,0
36,73000,14000,24,1,0.29,8,1
31,58000,15000,36,1,0.38,6,1
48,39000,24000,60,0,0.67,3,0
27,61000,12000,18,1,0.27,3,1
33,56000,17000,36,1,0.41,7,1
44,41000,23000,48,0,0.63,4,0
39,76000,13000,24,1,0.22,10,1
52,37000,26000,60,0,0.70,2,0
